 Variables , 1986 1Q , 1986 2Q , 1986 3Q , 1986 4Q , 1987 1Q , 1987 2Q , 1987 3Q , 1987 4Q , 1988 1Q , 1988 2Q , 1988 3Q , 1988 4Q , 1989 1Q , 1989 2Q , 1989 3Q , 1989 4Q , 1990 1Q , 1990 2Q , 1990 3Q , 1990 4Q , 1991 1Q , 1991 2Q , 1991 3Q , 1991 4Q , 1992 1Q , 1992 2Q , 1992 3Q , 1992 4Q , 1993 1Q , 1993 2Q , 1993 3Q , 1993 4Q , 1994 1Q , 1994 2Q , 1994 3Q , 1994 4Q , 1995 1Q , 1995 2Q , 1995 3Q , 1995 4Q , 1996 1Q , 1996 2Q , 1996 3Q , 1996 4Q , 1997 1Q , 1997 2Q , 1997 3Q , 1997 4Q , 1998 1Q , 1998 2Q , 1998 3Q , 1998 4Q , 1999 1Q , 1999 2Q , 1999 3Q , 1999 4Q , 2000 1Q , 2000 2Q , 2000 3Q , 2000 4Q , 2001 1Q , 2001 2Q , 2001 3Q , 2001 4Q , 2002 1Q , 2002 2Q , 2002 3Q , 2002 4Q , 2003 1Q , 2003 2Q , 2003 3Q , 2003 4Q , 2004 1Q , 2004 2Q , 2004 3Q , 2004 4Q , 2005 1Q , 2005 2Q , 2005 3Q , 2005 4Q , 2006 1Q , 2006 2Q , 2006 3Q , 2006 4Q , 2007 1Q , 2007 2Q , 2007 3Q , 2007 4Q , 2008 1Q , 2008 2Q , 2008 3Q , 2008 4Q , 2009 1Q , 2009 2Q , 2009 3Q , 2009 4Q , 2010 1Q , 2010 2Q , 2010 3Q , 2010 4Q , 2011 1Q , 2011 2Q , 2011 3Q , 2011 4Q , 2012 1Q , 2012 2Q , 2012 3Q , 2012 4Q , 2013 1Q , 2013 2Q , 2013 3Q , 2013 4Q , 2014 1Q , 2014 2Q , 2014 3Q , 2014 4Q , 2015 1Q , 2015 2Q , 2015 3Q , 2015 4Q , 2016 1Q , 2016 2Q , 2016 3Q , 2016 4Q 
"                     Deposit-taking Corporations, Except The Central Bank ","17,821.50","18,499.90","30,899.20","33,137.30","16,423.80","12,828","22,320.30","12,544.70","12,960.60","5,734","34,205.10","6,738.10","14,520.30","-7,815.90","70,722.30","13,350.80","13,308.20","-28,078.10","18,116.90","27,325.70","-17,085","-39,730.10","-22,851.60",172.4,"-13,371.60","-11,020.70","20,836.20","2,300.10","-5,532.80","-9,823.70","13,738.20","17,507.60",644.7,"2,083.80","-10,027.90","-10,913.60","12,449.80","33,509.30","-8,169.40","6,091.40","-8,841.10","8,615.30","14,507.40","8,501.10","25,229.70","26,897.70","33,268.70","59,986.50","-78,211.80","2,040.60","-6,016.40","31,680.70","-6,418.70","-23,542.20",852.7,"-6,762.20","3,309.30","-16,435.90","-4,604.90","39,707.80","11,404.70","-24,727.80","-25,960","38,493.40","4,996.20","-55,015","4,754.20","19,262.10","-2,393.20","-6,395.20","-21,801.60","15,743.70","25,257.90","-2,165.40",-650.5,"25,761.80","-18,069.90","11,457.60","38,775.30","40,743.20","-26,611.70","41,344.90","9,655.80","-6,048.20","41,581.20","11,399.60","46,926.50","41,715.90","45,121.90","-39,210.50","72,112.30","-28,571.90","-13,087.10","-52,815.20","-53,681.20","-28,568.50","11,046.50","8,410.40","5,507.90","-12,772.90","9,630","21,305.50","59,653.80","-17,111","-27,919","24,292","-11,726.80","-1,079.50","7,103.30","29,242.50","17,572","26,863","-11,009.10","-5,420.80","24,832.40","41,990","39,943.80","-39,735.40","90,296.60","-68,404.80","-4,930.60","10,581.40",-802.6,"29,348.10"
                     Official ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.4,"1,134","2,090","2,891.60",538.5,"1,722.40","3,110.70","1,015.40",34.5,"3,836.30","1,073.10",14.5,55.2,"1,155.30","1,654.80","1,299.30",843.5,823.7,829.2,401.7,174.3,523.3,853.3,986.5,-235.9,"1,797.10",-10.1,-16.7,-39.8,"1,554.70","1,574.80",975.9,789.8,114.6,74.5,49,391.9,31.1,9.3,9.2,"1,470","2,510.70","5,212.10","4,907.20","9,269.30",10.2,7.8,"6,108.20",230.6,"6,233.10","3,527.90",37.2,334.1,"6,184.80","1,255.10","9,165.30","6,042.10","21,366.90","7,682.60","12,015.70","9,186.60","1,334.40",46.6,13.4,"1,914.60",2.4,"7,802.30","12,702.70","1,412","2,004.70","10,702.90","5,402.50","18,656.70","4,303","7,305.30","3,607.60","1,570.90","3,610.20","5,408.50","8,700.90","7,630.60","13,807.10","11,405","4,187.60","1,519.20","3,008","8,055.80","9,446.40","4,064","3,309.80","4,940","2,365.50","2,198.60","11,307.60","27,756.80","18,421"
                     Others ,338.6,313.6,519.3,31.3,"1,042.70",210,-63.9,308.9,-589.8,-262.5,603.2,385.9,"1,163.20",-596.4,"1,144.90",-203.7,362.9,163.5,628.8,-262.8,699.7,313.8,179.9,91.6,"1,210.50",368.5,249.9,176.1,"1,077.70",935.5,721.8,"1,014.50","1,238.10",921,467.1,983.5,-109.1,343.5,-553.7,"2,338.80",-532.7,"1,391.50","2,355.90","1,620.30","-2,494","3,942.50","11,309.70","-1,964","-3,834.10","2,756.40","8,271.10","1,871.70","3,360.50","4,986.90",325,"3,555.10","2,387.60","11,159.10","9,899.50",-743.1,"-5,494.30",639.5,"9,069.60","-13,136.60","9,002.60","9,288.20","2,753.90","3,898","7,023.40","9,805.20","10,696.80",-333.5,443.1,"8,695.30","6,546","2,185.10","4,215.60","10,046.80","4,003.20","6,954.40","6,495.10","2,207.20",-387,"8,205.60","4,809.10","14,836","14,553.30","8,934.20","-1,578.50","-2,353","5,617","-15,522","-2,678","5,675.40","10,124.60","14,119.70","6,211.70","23,065.50","14,458.10","19,848.50","1,313.90",20.9,"-1,464.50","-9,567.50","5,491.90","5,638.80","4,428.70","5,938.90","4,581.40","3,962.30","-4,260.60","5,780.80","10,661.50","8,900.20","1,712.60","7,269.20","5,747.20",-953,"9,608.70","7,242.80","12,067","14,376.10","-12,152.70","8,864.90"
                 Liabilities ,"19,560.90","16,160.50","31,374","30,084.80","15,584.80","11,919.90","19,758.20","9,806.90","12,644.40","1,578.60","32,168","3,739.40","15,627.10","-7,857.10","71,351.20","12,470.70","13,495.20","-26,731","18,193.20","28,079.80","-14,693.50","-41,990.50","-24,539.90",-522.9,"-13,496.20","-11,865","21,739.20","1,808.20",877.8,"-7,857.50","16,468","20,864.10","5,388.80","3,032.50","-9,002.20","-16,058.60","15,292.30","42,317.60","-5,298.20","5,544.50","-4,299.90","12,136","15,496.80","12,787.10","34,811","35,282.90","42,876.40","59,692","-91,202.10","-5,276.10","-9,334.10","34,971.60","-18,820.90","-18,376.30","1,569.60",792,"6,661.70","2,947.50","8,900.60","41,601.60","18,596.20","-21,550.90","-9,681.30","27,130.50","7,154.60","-42,527.10","15,483.40","18,170.60",-806.7,"15,019.20","-13,318.50","12,611.10","50,302.10","3,919",951.7,"22,894.50","-12,949","23,297.40","29,107.10","33,001.90","-27,529.30","43,777.80","4,632.40","8,509.90","43,561.10","60,976.70","62,975.60","83,591.50","72,327.10","-55,049.50","51,504.50","-72,908.20","-25,047.80","-21,411.20","-19,181.70","4,995","32,943.70","18,927.70","23,058.10","4,776.80","27,877.70","10,955.50","68,357.40","-51,154.70","-18,582.80","21,601.80","-2,853.80","24,220.90","20,818.10","27,075.20","14,583.60","59,819.40","-6,007.70","29,284.30","14,387","29,222.80","41,986.90","-54,718.40","60,663.50","-56,616.10","-27,279.70","10,451.90","2,511","32,383.20"
"                     Deposit-taking Corporations, Except The Central Bank ","19,239","16,024.50","31,099.50","29,304.40","15,812.60","12,515.50","20,452.80","10,061","14,357.40","2,158.20","32,134.70","3,889.40","15,249.90","-7,518.40","70,846.50","11,759.80","12,970.60","-27,228","17,859.20","27,631.40","-14,586","-41,911.80","-24,291.70",-85.2,"-12,833.30","-11,343.50","22,753.20","2,910.50",-198.3,"-9,320.80","15,404.30","19,247.90","5,983.30","3,703.70","-8,584.10","-15,485.20","15,066.20","39,204.80","-2,907.50","4,664.30","-4,819.40","9,446.90","16,841.30","13,546.60","31,358.50","32,613.90","39,766","60,216.50","-92,995.40","-8,053","-10,346.10","32,489.10","-24,047.50","-25,949.60","5,456.60",762.1,"3,403","-5,719.80","4,652.50","37,580.30","16,764.10","-24,159.90","-3,278.70","27,492","1,530.50","-41,430","5,965.80","13,244.10","-4,704.70","4,788","-8,652.50","7,031.20","46,155","1,486.20",-697.1,"20,781.60","-22,228.30","20,889","29,647.50","31,823.70","-37,611.90","49,143.40","8,571.70","4,669.60","33,534.80","49,939.90","57,787","72,343.90","68,045","-52,921.20","55,184.90","-72,834.20","-24,760.40","-23,357.50","-29,252.50","-10,243.80","24,588.10","12,939.90","6,194.70","-8,979.80","11,848.20","3,201.10","81,292.20","-36,855.30","-28,650.80","25,629.90","-5,220.30","15,439.50","22,817.40","22,772.40","5,813.10","57,339.20","1,693.50","14,751.90","4,680.50","31,115.80","37,860.50","-48,348.40","73,658.50","-64,510.80","-15,522.10","-3,171.30","-4,776.70","37,886.90"
                     Others ,321.9,136,274.5,780.4,-227.8,-595.6,-694.6,-254.1,"-1,713",-579.6,33.3,-150,377.2,-338.7,504.7,710.9,524.6,497,334,448.4,-107.5,-78.7,-248.2,-437.7,-662.9,-521.5,"-1,014","-1,102.30","1,076.10","1,463.30","1,063.70","1,616.20",-594.5,-671.2,-418.1,-573.4,226.1,"3,112.80","-2,390.70",880.2,519.5,"2,689.10","-1,344.50",-759.5,"3,452.50","2,669","3,110.40",-524.5,"1,793.30","2,776.90","1,012","2,482.50","5,226.60","7,573.30","-3,887",29.9,"3,258.70","8,667.30","4,248.10","4,021.30","1,832.10","2,609","-6,402.60",-361.5,"5,624.10","-1,097.10","9,517.60","4,926.50","3,898","10,231.20","-4,666","5,579.90","4,147.10","2,432.80","1,648.80","2,112.90","9,279.30","2,408.40",-540.4,"1,178.20","10,082.60","-5,365.60","-3,939.30","3,840.30","10,026.30","11,036.80","5,188.60","11,247.60","4,282.10","-2,128.30","-3,680.40",-74,-287.4,"1,946.30","10,070.80","15,238.80","8,355.60","5,987.80","16,863.40","13,756.60","16,029.50","7,754.40","-12,934.80","-14,299.40","10,068","-4,028.10","2,366.50","8,781.40","-1,999.30","4,302.80","8,770.50","2,480.20","-7,701.20","14,532.40","9,706.50","-1,893","4,126.40","-6,370","-12,995","7,894.70","-11,757.60","13,623.20","7,287.70","-5,503.70"
     C Net Errors & Omissions ,"-1,058.70","1,520.20",-706.7,"2,590.60","1,340",-85.2,"1,395.70","2,370.10",-718.9,448.7,840.8,"1,970.30",-399.5,-639.2,"-1,216.50","-1,287.10","1,612.10","-1,827.60","1,089.40","-2,686.90","-2,660.70","1,266.30",332,"-2,524.30","-1,937.90",782.5,"-2,937.20","1,577.60","-1,854.80","2,968.90","1,375.50","2,770.90","1,093.70",-920.2,"1,145.10","2,933.80","-1,419.60","-1,546.80",-413.5,"2,987.80","2,549.50",-398.4,933.4,"2,027","1,923.80","-1,355.60",704.2,-594.6,"2,035.10",427,"-1,974.90","-1,098.50","2,707.20","1,937.40","1,134.80",-243.2,-987.3,"1,845.60","2,054.50","1,065.50","-1,821.90","1,574.80",931.7,"-1,267.60",-454.6,-982,"1,167.10",10.6,"-2,479.40","1,195","-1,893.80",890.2,"-1,323.40","1,192.50","-1,229.60","1,190",113.4,731.6,-179.8,977.1,-692.6,-256.6,276.8,-804.7,641.1,440.3,-266.7,708.5,604.8,20.9,332.2,512.1,"1,227.30","1,231.40","1,024.80",-55.8,"1,606.60","1,911","2,212.70",187.5,636,"-2,376.10",396.1,-634.2,384.1,-994.7,200.8,919.9,-293.6,"1,048.10",153.5,219.6,"-1,571.20",683.4,"-1,031.40",-46.3,"-1,679.60",-814.1,"1,108.90",-212.8,-172.4,31.1,853.2,670.4
 E Reserve Assets ,33.9,508,206.6,460.1,201.7,529.8,671.8,925.2,"1,057.60",486,92.5,"1,707.50",884.8,"1,500.40","1,727.40","1,221.60","2,112.80","2,401","3,694.80","1,683.90",497.3,"2,276.70","2,497.70","1,991.10","1,774.20","3,685.50","2,354.20","2,145.10","2,258.50","2,888.90","3,262.10","3,744.20","1,750.70","1,159.40","3,217.50","1,174.10","1,984.90","5,719.50","2,258.40","2,211.10","1,787.50","2,823.40","2,719.80","3,075.90","6,085.60","1,679","2,903.10","1,188",339.9,"1,209.50",865.7,"2,565.50",-414.9,"4,799.40",-6,"2,942.70","-2,170.80","5,859.50","4,393.90","3,760.90","1,054.20","-4,384.80","-2,230.40","3,957.70","1,568.40",221.6,932.7,-436.5,856.8,"2,913.90","5,076.30","2,927.50","10,655",304.3,818.9,"8,690.70","4,778.10","9,980.80","1,290.40","4,347.40","8,387.80","5,115.50","4,005.80","9,486.60","1,515.30","9,136","6,031.40","12,614.90","11,965","4,290.60","-2,141.20","4,416.70","-3,577.50","1,031.10","7,020.80","11,981.80","21,045.10","13,686.60","6,271.90","16,476.90","6,235.30","5,465.50","10,087.40",-300.5,"6,371.70","4,842.50","7,849.30","13,542.40","8,718","5,385.60",949.6,"7,677.70",447.6,"4,654.50","3,405.20",110.5,"-1,310.90","2,686.50",479.4,-354.3,"-8,720.30","4,757.30","5,434.40","-3,926.70"
     Special Drawing Rights ,5.1,13.5,5.4,7.4,9.7,6.4,-2.6,15.6,5.2,-0.5,-1.5,5,6.2,-9.6,-14.9,9.1,4,7,-16.1,8.6,7.8,-3.6,-20.6,5.1,-1.7,8.8,9.2,-93.7,3.2,5.1,3.4,2.3,3.6,-85.8,4.7,3.4,4,6.6,3.2,4.3,2.9,4.1,4.9,4.4,0.9,6.8,4.9,14.6,5.7,5.4,20.2,1.6,37,5.2,6.7,8.8,8,6.3,9.8,8.6,9,13,2.9,16.2,0.4,8.1,9.5,9.7,12,13.9,6.1,14.3,100.8,2.2,6.4,13.3,1.8,-1.6,7.4,-5.2,-6,8.3,7.3,0.7,0.8,12.1,8.9,-5.4,4.3,-7.8,5.2,38.4,3.4,-12.7,"1,669.90",0.6,-116.8,-55.8,0.2,-63,-257.8,-27.4,76.3,-28.2,-42.4,-12.3,-37,-0.1,-19.4,43.5,15.5,17,0.1,-14.1,-31.4,25.6,-23.8,1.4,95.1,-32.9,-305.4,-13.5,21.3,26.4
     Reserves Position In The IMF ,5.9,15.3,0.4,3.2,5.2,3.7,-7.6,10.4,0,-4.9,-6.3,-1,0,-2.3,-6.8,4.6,-4.8,-0.1,-7.9,-16.4,-0.2,-16.1,-7.7,-5.9,-13.8,2,-2.3,131.5,-8.6,79,5.8,15.4,1.6,29.7,0,-7.6,11.6,46.4,-6.3,0.1,-0.5,-8.3,1.3,0.1,-26.7,-2.4,-10.4,163.1,0,-10.1,50,22,160.4,-14.4,11.2,-65,0.1,-100.2,-50.1,-9.6,13.2,47.7,12,84.1,-11.6,76.9,62.8,4.9,54.8,117.2,-85.3,44.5,-186.7,-63.7,15.3,-8.7,-52.1,-104.3,-48.5,-216.3,-62.9,7.9,3.2,-39.2,-14.3,-47.9,-2.6,-6.8,-3.6,20.3,-6.1,116.5,-3.5,61.6,61.3,0.3,-18.7,-9.4,-3.1,76.7,361.4,-46.4,142.1,27.5,-2.4,54.5,-10.1,-6.9,24.8,64.7,56,35.5,-14.1,-14,-46.4,-138.1,-257.3,-7.7,58.9,-25.5,566.9,-21,21.2,22
     Foreign Exchange Assets ,22.9,479.2,200.8,449.5,186.8,519.7,682,899.2,"1,052.40",491.4,100.3,"1,703.50",878.6,"1,512.30","1,749.10","1,207.90","2,113.60","2,394.10","3,718.80","1,691.70",489.7,"2,296.40","2,526","1,991.90","1,789.70","3,674.70","2,347.30","2,107.30","2,263.90","2,804.80","3,252.90","3,726.50","1,745.50","1,215.50","3,212.80","1,178.30","1,969.30","5,666.50","2,261.50","2,206.70","1,785.10","2,827.60","2,713.60","3,071.40","6,111.40","1,674.60","2,908.60","1,010.30",334.2,"1,214.20",795.5,"2,541.90",-612.3,"4,808.60",-23.9,"2,998.90","-2,178.90","5,953.40","4,434.20","3,761.90","1,032","-4,445.50","-2,245.30","3,857.40","1,579.60",136.6,860.4,-451.1,790,"2,782.80","5,155.50","2,868.70","10,740.90",365.8,797.2,"8,686.10","4,828.40","10,086.70","1,331.50","4,568.90","8,456.70","5,099.30","3,995.30","9,525.10","1,528.80","9,171.80","6,025.10","12,627.10","11,964.30","4,278.10","-2,140.30","4,261.80","-3,577.40",982.2,"5,289.60","11,980.90","21,180.60","13,751.80","6,274.80","16,463.20","6,131.70","5,539.30","9,869",-299.8,"6,416.50","4,800.30","7,896.40","13,549.40","8,712.60","5,277.40",878.1,"7,625.20",461.6,"4,682.60","3,483",223,"-1,029.80","2,692.80",325.4,-295.9,"-8,981.80","4,791.80","5,391.90","-3,975.10"
